bidprice,clicks,CTR,cost,avg CPM,eCPC
0,0,0.0,0.0,0.0,inf
1,0,0.0,0.2910000000000002,0.7843665768194076,inf
2,0,0.0,1.2469999999999941,1.468786808009416,inf
3,0,0.0,1.522999999999986,1.6184909670563081,inf
4,0,0.0,6.454999999999755,2.969181232750577,inf
5,0,0.0,34.73999999999979,4.435648621041853,inf
6,4,0.041571398877572226,45.48000000000312,4.726668052380288,11.37000000000078
7,4,0.036036036036036036,55.82500000000417,5.029279279279654,13.956250000001042
8,4,0.03233629749393695,65.98300000000536,5.334114793856537,16.49575000000134
9,4,0.029184298847220194,78.00500000000174,5.691303078943656,19.501250000000436
10,4,0.024342745861733205,105.26400000000099,6.406037000973771,26.316000000000248
11,4,0.021574973031283712,128.45099999999664,6.928317152103379,32.11274999999916
12,5,0.02454951637452742,150.37299999998828,7.383168851573049,30.074599999997655
13,5,0.022864459484177792,169.88599999998772,7.768703127857496,33.977199999997545
14,5,0.02128927871923699,192.53599999998636,8.197905134973446,38.50719999999727
15,6,0.023945404477790637,216.09899999997512,8.624296603742472,36.01649999999585
16,8,0.029373967321461355,250.9469999999631,9.2141362217721,31.36837499999539
17,9,0.030375645482466504,291.6429999999561,9.843160417157383,32.4047777777729
18,10,0.03137156481365291,332.08599999994306,10.418057472704954,33.208599999994306
19,10,0.02982492767455039,363.4899999999453,10.841062960420691,36.34899999999453
20,13,0.027565733672603905,636.1089999998072,13.488316369800833,48.93146153844671
21,13,0.02552122187757666,715.4459999997579,14.045427774937332,55.03430769228907
22,13,0.023420891435160164,815.9409999997903,14.70005044499316,62.76469230767618
23,14,0.024588148512417016,848.8769999998093,14.908795531978807,60.63407142855781
24,15,0.02552062066149449,892.9819999998047,15.192969919691791,59.53213333332031
25,16,0.026471220819615175,934.6559999997784,15.463428353982733,58.41599999998615
26,16,0.02604887420021816,960.1359999997583,15.631538674433978,60.00849999998489
27,16,0.025469595670168738,997.8549999997753,15.884352117156563,62.365937499985954
28,18,0.028119288269570244,1031.2569999997936,16.110118257225775,57.29205555554409
29,18,0.027657416797271135,1062.255999999797,16.321809409664684,59.01422222221095
30,18,0.026807255830578143,1124.174999999767,16.742248235185517,62.45416666665372
31,24,0.032533991242934025,1328.1909999996199,18.004730984554758,55.341291666650825
32,24,0.0318142050425515,1381.5969999996132,18.31433760173405,57.56654166665055
33,24,0.030942987545447515,1451.6889999995653,18.71649776952071,60.48704166664856
34,24,0.030268252386777817,1510.4739999996084,19.049753439855827,62.93641666665035
35,24,0.029984258264411187,1536.75899999962,19.19940781089453,64.03162499998417
36,24,0.029317273982140894,1602.3149999996238,19.573128275284606,66.76312499998433
37,25,0.03010089821080261,1646.3819999996524,19.823030799234864,65.8552799999861
38,27,0.031906219349349466,1706.0029999996752,20.160039232828844,63.18529629628427
39,27,0.031564549503735134,1741.7169999996668,20.361671284439456,64.50803703702469
40,28,0.03183808061856842,1837.9559999996177,20.898925464774777,65.64128571427206
41,28,0.031375361376930144,1891.131999999603,21.191053539808642,67.5404285714144
42,29,0.03176341730558598,1977.5659999995285,21.660087623214988,68.19193103446649
43,31,0.03356649414210537,2022.8869999994756,21.903620850201133,65.25441935482179
44,31,0.03291429542172768,2103.4039999995766,22.332922789428956,67.85174193547022
45,31,0.03233410517971504,2179.452999999657,22.732471785882066,70.30493548385991
46,32,0.03299411261303061,2230.6509999997006,22.999484466987333,69.70784374999064
47,33,0.03340858701924537,2314.7739999997657,23.434342002690563,70.14466666665956
48,35,0.03506627526024186,2364.4049999997505,23.688821873338117,67.55442857142144
49,37,0.03636435114203719,2459.3179999997374,24.17067657349272,66.46805405404696
50,43,0.03723169369572182,3146.517000000476,27.24422259358122,73.17481395349944
51,46,0.03901280637774574,3269.784000000472,27.731184801971605,71.08226086957548
52,48,0.03901772868046919,3535.555000000829,28.739442859355954,73.6573958333506
53,48,0.038687213875814044,3591.257000000857,28.94494325875989,74.81785416668451
54,48,0.03839877123932034,3641.5840000009366,29.131739784334393,75.86633333335284
55,49,0.03689731252023705,4070.418000000634,30.650507149800333,83.06975510205376
56,49,0.03650586701434159,4150.162000000772,30.91944123673513,84.69718367348516
57,49,0.03614848914069878,4225.800000000807,31.174752124651846,86.24081632654708
58,49,0.035808243203741597,4300.503000000934,31.427236188255872,87.76536734695783
59,49,0.03529394816831612,4418.14900000132,31.823249348151894,90.16630612247592
60,51,0.03616046739176676,4550.387000001545,32.263553084995145,89.22327450983421
61,52,0.0364446811791256,4650.664000001731,32.59460899063464,89.43584615387945
62,53,0.03689857070253486,4709.874000001739,32.7901167526594,88.86554716984412
63,53,0.036534086992486385,4800.153000001977,33.08852967534278,90.56892452833918
64,53,0.03609985355719783,4911.831000002147,33.455920716562666,92.6760566038141
65,55,0.03723209813027173,4970.784000002238,33.64958503135781,90.3778909091316
66,56,0.037501841608293264,5076.647000002226,33.99707351701798,90.65441071432546
67,57,0.03769193128165792,5203.946000002399,34.41171491676299,91.29729824565612
68,57,0.03740083856616996,5283.981000002661,34.671108836457684,92.70142105267826
69,58,0.03781112690196488,5352.35900000281,34.892883685168975,92.28205172418637
70,65,0.040072500400725006,6250.016000002731,38.53134902533033,96.15409230773432
71,64,0.03968549247215815,6250.052000002612,38.75568618698448,97.65706250004081
72,63,0.039229360997297534,6250.040000002656,38.9182659377228,99.20698412702627
73,63,0.04017549677320613,6250.020000002868,39.85677116549032,99.2066666667122
74,63,0.040378144528120496,6250.023000002744,40.05783047590286,99.20671428575784
75,63,0.04055097837281153,6250.033000002628,40.22935762102618,99.20687301591472
76,61,0.03978477091146258,6250.028000002642,40.76326756890684,102.45947540987939
77,68,0.04630070949028366,6250.036000003522,42.55604428529082,91.91229411769885
78,67,0.045792552900650665,6250.027000003567,42.71711821315795,93.2839850746801
79,68,0.04660151591990022,6250.018000003523,42.832399018651046,91.91202941181652
80,66,0.04695804369944006,6250.068000002881,44.46832822251624,94.69800000004365
81,67,0.0478817677662798,6250.042000002907,44.66612829457226,93.28420895526727
82,66,0.04731691579739757,6250.014000002941,44.80778578343865,94.69718181822638
83,66,0.04748406406031915,6250.047000002869,44.96630789820329,94.69768181822529
84,66,0.048223405887639466,6250.041000002519,45.66640362992568,94.69759090912908
85,66,0.04848912300808887,6250.0010000025295,45.91773746815168,94.69698484852317
86,66,0.04869231620495039,6250.037000002523,46.11042089344884,94.69753030306853
87,65,0.0481139337952271,6250.012000002578,46.26348670576907,96.15403076927043
88,66,0.04987681937034294,6250.039000002333,47.232131251623514,94.69756060609595
89,67,0.051136840659130975,6250.004000002229,47.70230726373809,93.28364179107804
90,65,0.04979392973693484,6250.025000002251,47.878970108338194,96.1542307692654
91,66,0.05078759243726578,6250.064000002251,48.094803505900224,94.6979393939735
92,65,0.050134205411409005,6250.007000002225,48.20602073243934,96.15395384618807
93,65,0.050279632107799524,6250.013000002173,48.34590066293442,96.15404615387958
94,65,0.050450170754424095,6250.00500000217,48.509818379402134,96.15392307695646
95,65,0.05079990308941565,6250.018000002161,48.84620133957126,96.15412307695632
96,65,0.05096320456630313,6250.0430000020815,49.00341845496877,96.15450769233972
97,65,0.051086170580653276,6250.045000002053,49.121671539517536,96.15453846157004
98,63,0.04957858205255329,6250.009000002032,49.18517206917418,99.20649206352431
99,63,0.04967592373562946,6250.001000002048,49.28167825773169,99.2063650793976
100,62,0.04929711850391197,6250.0030000021,49.69469976466271,100.80650000003386
101,61,0.04899677103246639,6250.062000001981,50.20210766439606,102.46003278691772
102,61,0.04911274999194873,6250.071000001952,50.32101220574177,102.46018032790084
103,61,0.04928416766312252,6250.056000001963,50.4965258701642,102.4599344262617
104,60,0.04856687253624303,6250.032000001966,50.59075124858926,104.16720000003276
105,59,0.047891165297574596,6250.045000001893,50.73253190040174,105.93296610172699
106,59,0.04801823065028078,6250.042000001869,50.86711158136136,105.93291525426898
107,58,0.047372461897838836,6250.003000001856,51.04793603085626,107.75867241382511
108,58,0.047540983606557376,6250.088000001878,51.23022950821211,107.76013793106686
109,57,0.0468437964842498,6250.030000001907,51.36405848079738,109.64964912284047
110,57,0.04697195691765074,6250.043000001872,51.504693075360095,109.6498771930153
111,56,0.04628519948094455,6250.102000001835,51.65843175827418,111.60896428574706
112,57,0.04729623206684534,6250.002000001837,51.859920177251645,109.64915789476906
113,57,0.047454522749032176,6250.0520000018405,52.033900845038836,109.65003508775159
114,57,0.04758287350468733,6250.084000001792,52.17490462557114,109.65059649125952
115,56,0.046898423040525265,6250.003000001733,52.342015124755946,111.60719642860238
116,55,0.046133586089465606,6250.065000001726,52.425074862242816,113.63754545457684
117,56,0.047110288550517375,6250.054000001751,52.57890132078532,111.60810714288841
118,56,0.04726536124240378,6250.046000001759,52.7519074949507,111.6079642857457
119,57,0.0484138106765193,6250.06500000169,53.08587081158271,109.65026315792439
120,57,0.048540382191640835,6250.048000001678,53.22451204143541,109.64996491231014
121,57,0.04876337784773849,6250.045000001692,53.469001035166876,109.64991228073143
122,57,0.04887417899953698,6250.011000001688,53.590202870729414,109.6493157895033
123,57,0.048991800319735955,6250.00200000165,53.71909648807566,109.64915789476579
124,58,0.05004659510578815,6250.0510000016,53.92996065303559,107.75950000002759
125,58,0.0501378791677112,6250.048000001589,54.02830196835772,107.75944827588945
126,57,0.04945941724658556,6250.02700000163,54.232051437808074,109.64959649125666
127,57,0.049692689943768804,6250.020000001679,54.48777298288373,109.64947368424
128,57,0.0498482688658207,6250.034000001663,54.658486886421706,109.64971929827479
129,57,0.0499850921654945,6250.066000001628,54.80879386850963,109.65028070178295
130,57,0.05011870218939594,6250.006000001648,54.954770069477256,109.64922807020436
131,58,0.05108331865421878,6250.00700000166,55.04674123658324,107.75874137933897
132,58,0.05124670872431038,6250.027000001627,55.22298503244117,107.75908620692461
133,58,0.05152624284851285,6250.01700000157,55.52411961196803,107.75891379313052
134,58,0.05159866911018984,6250.087000001565,55.602788107410326,107.76012068968215
135,57,0.05083748060148766,6250.05400000157,55.74333315497021,109.65007017546614
136,58,0.05184450224808489,6250.015000001595,55.86705460657705,107.75887931037232
137,58,0.05195642826429697,6250.016000001579,55.98767378530869,107.75889655175136
138,58,0.0520268027735668,6250.0010000015745,56.063374027875376,107.75863793106163
