base_bid,clicks,CTR,cost,avg CPM,eCPC
65,161,0.13041189097241912,5878.581000002251,47.617196549368195,36.51292546585249
66,161,0.1289940069865077,5971.7340000023105,47.84583213154433,37.09151552796466
67,161,0.1275631477197097,6068.681000002356,48.08323297311156,37.69367080746805
68,162,0.12687870552392289,6172.8810000023805,48.34612040947659,38.1042037037184
69,163,0.1266530948421887,6250.026000002436,48.56350526039594,38.34371779142599
70,161,0.12567619255778373,6250.047000002423,48.787708712267275,38.820167701878404
71,156,0.12230306071249374,6250.009000002419,48.999694242367184,40.064160256425765
72,149,0.11732837771863237,6250.006000002414,49.214970786040396,41.946348993304795
73,147,0.11622942264813321,6250.060000002412,49.417745939896044,42.517414966002804
74,145,0.11516528203580449,6250.003000002378,49.64023160137228,43.103468965533644
75,144,0.11483528314074498,6250.061000002353,49.84218920709708,43.403201388905224
76,144,0.11529869568350508,6250.093000002339,50.04358130561632,43.40342361112735
77,143,0.11501371317349376,6250.034000002309,50.26850474131815,43.70653146854762
78,143,0.11545852374570058,6250.065000002291,50.463166308736824,43.70674825176427
79,142,0.11508785579977955,6250.027000002266,50.65508493809785,44.01427464790328
80,141,0.11471995313567872,6250.010000002253,50.851124418282396,44.326312056753565
81,139,0.11356951434734297,6250.000000002261,51.0654291130324,44.96402877699468
82,139,0.11400638107658112,6250.135000002253,51.26296925110318,44.96500000001621
83,135,0.11117607820207694,6250.143000002242,51.47158421795651,46.29735555557216
84,135,0.11159422685866384,6250.063000002226,51.66451468912515,46.29676296297945
85,133,0.11032491933008717,6250.007000002201,51.84447504418969,46.99253383460301
86,132,0.10990566430480506,6250.139000002202,52.03982415095545,47.34953787880456
87,132,0.11028766699808668,6250.014000002174,52.219656270122684,47.34859090910738
88,132,0.1106741902757632,6250.0350000021435,52.402845668213395,47.34875000001624
89,131,0.11023131747460893,6250.01000000215,52.59136156715402,47.710000000016414
90,130,0.10973149547146559,6250.040000002138,52.75586430436257,48.077230769247215
91,127,0.10754600343808483,6250.067000002119,52.92675016303059,49.21312598426866
92,126,0.10708913045325899,6250.0120000021,53.11971034941738,49.603269841286505
93,124,0.10574520522244868,6250.007000002083,53.29905426265816,50.40328225808132
94,124,0.10609262570692767,6250.052000002054,53.474550603633276,50.40364516130689
95,124,0.10644233658096915,6250.008000002031,53.65043993306177,50.40329032259702
96,125,0.10762594387952783,6250.037000002016,53.81329051257515,50.00029600001613
97,124,0.10704142675863021,6250.027000002037,53.95256510969189,50.40344354840353
98,121,0.10477097584206424,6250.106000002038,54.11815741624416,51.65376859505817
99,121,0.10507120527961097,6250.013000002033,54.27242966309511,51.653000000016796
