,lower_bound,upper_bound,clicks,CTR,cost,avg CPM,eCPC
0,60,120,64,0.04748232396299346,6250.00200000243,46.36947183335507,97.65628125003796
1,60,119,66,0.04878481461770445,6250.007000002466,46.19779285673871,94.69707575761312
2,60,118,66,0.048736542068496994,6250.0160000024525,46.15214662316649,94.69721212124928
3,60,117,60,0.04417871763908933,6250.029000002513,46.019711071205144,104.16715000004189
4,60,116,66,0.048397386541126776,6250.0710000024865,45.83137910554654,94.69804545458312
5,60,115,67,0.048988425570495805,6250.057000002475,45.69857494865337,93.28443283585784
6,60,114,70,0.05094688423412277,6250.062000002545,45.48874073860278,89.28660000003636
7,60,113,67,0.048738970080091946,6250.075000002556,45.466002749769444,93.28470149257546
8,60,112,70,0.05074155153166998,6250.022000002541,45.30511619817143,89.28602857146487
9,60,111,63,0.04551825787899369,6250.000000002571,45.15700186409961,99.20634920639002
10,60,110,62,0.04457769820898313,6250.009000002601,44.93726048476522,100.8065967742355
11,60,109,70,0.050227458634100136,6250.054000002645,44.84633267800356,89.2864857143235
12,60,108,67,0.04791566842357451,6250.003000002646,44.69747334245862,93.28362686571114
13,60,107,70,0.049892730629147335,6250.029000002625,44.54728761735572,89.28612857146608
14,60,106,64,0.045427443854518613,6250.023000002641,44.36290139407343,97.65660937504127
15,60,105,65,0.045989698307579104,6250.049000002679,44.22121044887841,96.15460000004123
16,60,104,68,0.04787923167915282,6250.026000002631,44.00682983159629,91.91214705886222
17,60,103,73,0.05108753464154746,6250.041000002741,43.73961453407288,85.61700000003755
18,60,102,62,0.04328007092347106,6250.011000002762,43.62918054074094,100.80662903230261
19,60,101,65,0.0451668044833265,6250.042000002797,43.42991154257004,96.15449230773534
20,60,100,62,0.0429196433516088,6250.006000002856,43.26581104282865,100.80654838714284
21,60,99,66,0.04544421722335833,6250.029000002857,43.03449629218468,94.69740909095238
22,60,98,65,0.04455625398435733,6250.056000002892,42.84293577732081,96.15470769235218
23,60,97,62,0.042315042315042316,6250.009000002918,42.65635408137399,100.8065967742406
24,60,96,70,0.04753561775930679,6250.006000002938,42.4425566013591,89.28580000004197
25,60,95,62,0.041929004727157146,6250.0280000029825,42.26733121886929,100.80690322585455
26,60,94,67,0.04498395348524929,6250.011000003025,41.96271703081082,93.28374626870188
27,60,93,61,0.04076586360143015,6250.004000003077,41.76832960205217,102.45908196726356
28,60,92,63,0.041871037205407344,6250.020000003101,41.53886031026505,99.20666666671589
29,60,91,70,0.04621682292354417,6250.027000003151,41.26519873235938,89.28610000004502
30,60,90,69,0.045280938693546484,6250.033000003151,41.01555958054856,90.58018840584276
31,60,89,63,0.04107311666720996,6250.034000003237,40.747361215263794,99.20688888894027
32,60,88,61,0.0395054692407826,6250.027000003253,40.47709006601463,102.45945901644677
33,60,87,63,0.04046216787303871,6250.063000003293,40.14144417828591,99.20734920640149
34,60,86,59,0.0376369122422031,6250.019000003343,39.86973162969962,105.93252542378546
35,60,85,67,0.04242681374628765,6250.046000003394,39.577542917593156,93.28426865676707
36,60,84,66,0.041481258013424845,6250.007000003488,39.281538326190315,94.69707575762861
37,60,83,64,0.03984237360940778,6250.028000003492,38.90874228834357,97.65668750005456
38,60,82,65,0.04009647829546786,6250.032000003498,38.55450345140306,96.15433846159227
39,60,81,68,0.04161388435011964,6250.0060000035455,38.248092187014905,91.91185294122862
40,60,80,70,0.042444821731748725,6250.031000003587,37.8973502304365,89.28615714290838
41,60,79,72,0.043760750253751576,6166.919000003513,37.48180586031516,85.65165277782657
42,60,78,65,0.039893698636863005,6050.100000003395,37.13244094200312,93.07846153851376
43,60,77,70,0.043428628151677584,5923.297000003238,36.74866612072686,84.61852857147483
44,60,76,63,0.03951874945112848,5793.960000003063,36.3444529476161,91.96761904766767
45,60,75,60,0.038015104668254855,5681.974000002975,36.00013938873597,94.69956666671625
46,60,74,61,0.038968671743241166,5590.629000002949,35.71465349825567,91.64965573775326
47,60,73,61,0.03934595413938788,5484.865000002788,35.378237172269415,89.91581967217685
48,60,72,60,0.03920799843168006,5345.374000002695,34.93023590147484,89.08956666671158
49,60,71,58,0.0382858500778919,5238.523000002532,34.57953555304922,90.31936206900917
50,60,70,54,0.03612620086167679,5099.161000002393,34.113576761502806,94.42890740745172
51,60,69,54,0.036638735285137565,4954.672000002167,33.61720663569676,91.75318518522532
52,60,68,55,0.03749403503988002,4908.457000002074,33.46142886360402,89.24467272731043
53,60,67,55,0.037702737904276175,4855.3230000019985,33.28344918357805,88.27860000003633
54,60,66,53,0.036508417601190314,4809.281000001923,33.12815832255478,90.7411509434325
55,60,65,52,0.03597694707929458,4768.297000001888,32.99014785142827,91.69801923080553
56,60,64,53,0.03684880171868373,4723.481000001838,32.84049335679956,89.1222830189026
57,60,63,52,0.03633314700950251,4678.6150000017615,32.69015511460147,89.97336538464926
58,60,62,51,0.035796758638600136,4638.11700000168,32.554814664048685,90.94347058826824
59,60,61,52,0.03665404921510993,4600.951000001643,32.43143930584028,88.4798269231085
60,61,120,69,0.051469491272564526,6250.044000002452,46.62124421902471,90.58034782612249
61,61,119,68,0.05055950035317298,6250.004000002455,46.47015874197892,91.91182352944786
62,61,118,62,0.04587597208965053,6250.063000002441,46.246405765591845,100.80746774197486
63,61,117,63,0.04652261885421436,6250.013000002436,46.15348771952352,99.20655555559422
64,61,116,68,0.05004894492408017,6250.078000002454,46.00144258725411,91.91291176474198
65,61,115,67,0.04916709473838703,6250.043000002536,45.865142731360805,93.28422388063487
66,61,114,66,0.04829715924890599,6250.030000002541,45.73616579099434,94.69742424246274
