base_bid,clicks,CTR,cost,avg CPM,eCPC
30,138,0.25447169463396646,2149.930999999949,39.64468006638298,15.579210144927167
31,140,0.24986168371080295,2242.246999999978,40.017972193963665,16.016049999999844
32,140,0.24174609752728277,2336.7690000000157,40.35034189805249,16.691207142857255
33,141,0.23612553170110862,2432.015000000057,40.72771879291384,17.24833333333374
34,141,0.22925338189386055,2526.3880000001022,41.076808012488655,17.917645390071648
35,143,0.22610125541536225,2618.9050000001316,41.408231350601326,18.3140209790219
36,144,0.22144647607916712,2715.9980000001933,41.767235148479756,18.861097222223563
37,145,0.21733916901492895,2807.1000000002346,42.07536423047297,19.359310344829204
38,146,0.2133723054439167,2900.4880000002745,42.38930215564888,19.86635616438544
39,147,0.20985010706638116,2992.5760000003174,42.720571020704035,20.357659863947738
40,147,0.20498947162917824,3087.329000000376,43.0523769017358,21.002238095240653
41,148,0.20173107067402712,3178.7210000004325,43.32748585838523,21.477844594597517
42,148,0.19731754792949896,3270.7140000004824,43.60603151748503,22.09941891892218
43,149,0.19451189263987886,3357.149000000527,43.82586616538115,22.531201342285417
44,149,0.1905687646283909,3449.1310000005583,44.1138680343351,23.148530201346027
45,149,0.18655081318626285,3547.715000000619,44.418061624377046,23.810167785239052
46,151,0.1853442985147907,3644.202000000671,44.73060022094845,24.13378807947464
47,152,0.18302447952413636,3735.887000000698,44.984129851060196,24.578203947373016
48,153,0.1808467884919978,3829.106000000741,45.26023025461267,25.026836601312034
49,153,0.17765495459928937,3918.7370000007904,45.502159726908225,25.61266013072412
50,153,0.17453201464700044,4013.103000000839,45.77875500497176,26.229431372554505
51,153,0.17161893865464212,4107.092000000892,46.06893921549833,26.843738562097332
52,155,0.17111000717558095,4196.636000000963,46.32815587570749,27.075070967748147
53,155,0.16822774781032593,4293.913000001019,46.60356859894526,27.702664516135606
54,155,0.165644302904653,4382.141000001081,46.83075426935988,28.271877419361815
55,157,0.16521620171109264,4473.410000001155,47.075147063478326,28.49305732484812
56,157,0.16281577964906457,4560.65400000122,47.29595138342826,29.04875159236446
57,158,0.16153602355563282,4649.46400000128,47.535185204131224,29.42698734178025
58,159,0.16040029457161015,4735.43200000133,47.77136400780141,29.78259119497692
59,159,0.1583633792155535,4821.616000001374,48.023107109433816,30.324628930826254
60,161,0.15811751765318247,4912.427000001431,48.24476788153395,30.51196894410827
61,161,0.15606673064433263,5000.304000001476,48.4708756216155,31.057788819884944
62,162,0.15495126687008004,5092.430000001538,48.70854814490371,31.43475308642925
63,162,0.1529831718510964,5181.623000001588,48.93216801708867,31.985327160503626
64,162,0.15100952665038497,5273.651000001624,49.15873711293671,32.553401234577926
65,162,0.1492853654266152,5359.650000001651,49.38995733388917,33.08425925926945
66,163,0.1483909144703901,5450.503000001717,49.61994628796683,33.43866871166698
67,163,0.14675165658311726,5532.66100000177,49.81148264190588,33.94270552148325
68,163,0.1452038198403649,5612.453000001844,49.99690885121369,34.43222699387634
69,164,0.14462208661452042,5693.745000001874,50.20983430190631,34.7179573170846
70,164,0.14303780907941216,5784.337000001932,50.44993240593024,35.27034756098739
71,164,0.14149519002631467,5869.953000001965,50.64451921834231,35.792396341475396
72,165,0.14089197428081052,5954.108000002014,50.84157764857284,36.08550303031524
73,165,0.1394841622074003,6036.805000002062,51.03264774755955,36.586696969709465
74,165,0.13807878022042394,6123.062000002098,51.24029891965571,37.10946666667938
75,165,0.13671955918299705,6207.9500000021235,51.43928408668951,37.62393939395226
76,163,0.13468736830797962,6250.053000002136,51.64436750648347,38.34388343559593
77,161,0.13347592873546066,6250.011000002126,51.81528092125025,38.81994409939209
78,159,0.1322597281605084,6250.107000002127,51.98977690530642,39.308849056617156
79,155,0.12932185289013484,6250.027000002112,52.146133693783476,40.322754838723306
80,149,0.12478016916506154,6250.001000002116,52.340683359870326,41.94631543625581
81,149,0.1252248163649505,6250.036000002103,52.52749062916732,41.94655033558458
82,147,0.12389067280220475,6250.056000002113,52.67507774773594,42.51738775511642
83,146,0.12343487119655734,6250.135000002094,52.84141155385982,42.80914383563078
84,146,0.12378336215959575,6250.004000002086,52.9894868925466,42.808246575356755
85,145,0.12332553689134594,6250.043000002079,53.15792472891413,43.10374482760054
86,143,0.12200011944067637,6250.069000002073,53.32231919669382,43.70677622379072
87,144,0.12319169140481304,6250.033000002032,53.46889837542695,43.403006944458554
88,143,0.12274362033595702,6250.010000002011,53.64677304448822,43.7063636363777
89,143,0.12307851204103765,6250.009000002018,53.79313342400993,43.70635664337075
90,141,0.12176796725218923,6250.012000002027,53.97526642142103,44.326326241149125
91,143,0.12386636291978137,6250.0650000020105,54.1379594099631,43.70674825176231
92,140,0.12160378014036552,6250.079000002029,54.288088041154445,44.64342142858592
93,139,0.12100214147674844,6250.0480000020225,54.40785556350456,44.96437410073398
94,138,0.12049139534274562,6250.158000002009,54.57175786470047,45.29100000001456
95,136,0.11903719912472648,6250.106000001972,54.70552297594723,45.95666176472038
96,136,0.1192971991473759,6250.046000001961,54.82448399577162,45.956220588249714
97,134,0.1178198060369462,6250.047000001946,54.95368098970348,46.642141791059295
98,133,0.11721676287842066,6250.030000001928,55.083329661145974,46.99270676693179
99,134,0.11839966070544992,6250.033000001911,55.224013925230715,46.6420373134471
100,133,0.11774913237481409,6250.0200000019195,55.33341596432041,46.9926315789618
