base_bid,clicks,CTR,cost,avg CPM,eCPC
30,126,0.14562938477363876,3312.593000000573,38.28657782504332,26.29042063492518
31,128,0.14330015785408012,3473.2060000006736,38.88366937967459,27.134421875005263
32,129,0.14003169709732746,3637.0920000007777,39.48125312086991,28.194511627913005
33,131,0.13806768478409798,3802.771000000873,40.07937310948317,29.02878625954865
34,132,0.13534713463963824,3959.411000000965,40.59810103869662,29.99553787879519
35,133,0.1325757575757576,4128.147000001082,41.14979066986725,31.038699248128438
36,133,0.1291851621613746,4292.484000001255,41.69362718911789,32.27431578948312
37,134,0.1268254824573857,4460.34800000143,42.21535724089677,33.28617910448828
38,134,0.12377952464967623,4625.578000001583,42.727749706731046,34.51923880598196
39,135,0.1217356802770163,4796.374000001739,43.25110012986707,35.52869629630918
40,137,0.12083472984176825,4958.684000001906,43.73585704459336,36.19477372264165
41,137,0.1181645678799379,5127.666000002061,44.22689322064914,37.428218978117236
42,138,0.11648911924096365,5294.7580000021635,44.694325798137555,38.36781159421857
43,140,0.11572925966339317,5463.9440000022905,45.167013854464585,39.02817142858779
44,141,0.11427459943105839,5634.488000002476,45.66516731910555,39.960907801436
45,143,0.11382178533052094,5793.114000002557,46.11066979744941,40.51128671330459
46,144,0.11258355810953441,5956.428000002672,46.56915679608046,41.364083333351886
47,144,0.11065006915629322,6119.616000002754,47.02332872293494,42.49733333335246
48,144,0.10934272870854088,6250.019000002802,47.45792582920364,43.40290972224168
49,140,0.10709258919282785,6250.068000002772,47.80971176796687,44.64334285716266
50,134,0.10335438986201417,6250.000000002721,48.20633855506491,46.64179104479643
51,131,0.10183141071484095,6250.003000002692,48.583711638340624,47.70994656490605
52,131,0.10259462592119793,6250.007000002667,48.94787253207192,47.709977099257
53,130,0.10259890929467197,6250.060000002631,49.32687223280979,48.07738461540485
54,130,0.10331399507271717,6250.00100000259,49.6701978860573,48.076930769250694
55,130,0.10399334442595673,6250.017000002555,49.99693619610389,48.0770538461735
56,129,0.10385888073941082,6250.02600000254,50.319434492440365,48.44981395350806
57,125,0.1012670533717878,6250.043000002509,50.63387504457783,50.00034400002007
58,122,0.09940519840299845,6250.103000002476,50.92563350446081,51.23035245903669
59,121,0.09917219900008196,6250.01300000244,51.225415949532334,51.653000000020164
60,119,0.09809902230722306,6250.028000002397,51.52282657084066,52.52124369749913
61,118,0.09779951100244498,6250.061000002396,51.80109402844802,52.9666186440881
62,116,0.09664733719922682,6250.161000002366,52.07426014799012,53.880698275882466
63,116,0.09712070596706268,6250.0230000023175,52.3281591440176,53.879508620709636
64,115,0.09673620457604307,6250.1240000023045,52.57506729477039,54.34890434784612
65,115,0.09721376885101779,6250.01100000226,52.833663014829405,54.34792173915008
66,115,0.09770188182320208,6250.221000002216,53.10072639227064,54.349747826106224
67,112,0.09560555878034623,6250.137000002211,53.35248574454716,55.80479464287688
68,111,0.09519317353458256,6250.0780000022105,53.60042879809794,56.307009009028924
69,110,0.09470430732408676,6250.1370000021925,53.81044502416848,56.819427272747205
70,108,0.09334243710189019,6250.046000002164,54.018011633252065,57.870796296316335
71,107,0.0928190981800517,6250.011000002133,54.216858377158985,58.41131775702928
72,107,0.0932388745109316,6250.028000002116,54.46220340018749,58.411476635533795
73,106,0.0927011001696605,6250.029000002094,54.65892116910162,58.962537735868814
74,104,0.09128732686129593,6250.069000002055,54.86077804892698,60.096817307712065
75,101,0.08897894458638005,6250.178000002033,55.06279622942501,61.88295049506963
76,100,0.08843140376010328,6250.083000002034,55.27036133073375,62.50083000002034
77,99,0.08782435129740519,6250.048000002041,55.445092038164034,63.13179797981859
78,96,0.08544117908827141,6250.006000002043,55.62582103634848,65.10422916668794
79,96,0.08575256811076373,6250.019000002023,55.828664582420934,65.10436458335441
